CT_number,CRISPR1-Serial number,CRISPR2-Serial number,CRISPR3-Serial number,CRISPR6-Serial number
1,26,,,
2,27,17,,
3,28,34,9,5
4,29,30,,
5,6,7,,
6,2,,,
7,3,36,,
8,30,,,
9,31,11,10,
10,32,12,,
11,33,37,11,
12,34,38,,
13,8,10,,
14,9,9,,
15,35,29,,
16,5,40,13,1
17,36,28,,
18,4,,,
19,16,,14,7
20,17,41,,
21,37,43,,
22,38,46,16,
23,39,47,,
24,40,48,,
25,41,49,17,
26,42,50,,
27,28,,9,5
28,43,51,,
29,45,52,18,10
30,46,53,8,11
31,38,54,19,12
32,47,,,13
33,48,55,21,14
34,49,,22,15
35,50,57,23,16
36,50,,10,16
37,51,58,24,
38,52,59,,
39,53,60,,
40,54,62,,
41,55,63,,
42,56,64,,
43,57,66,,
44,58,70,25,18
45,59,71,,
46,,35,8,6
47,,36,,
48,,19,12,2
49,,39,,
50,,25,,
51,,42,,
52,,44,,
53,,35,8,8
54,,45,15,9
55,,56,,
56,,61,,
57,,65,,
58,,67,,
59,,68,,
60,,69,,
61,,,8,
62,,,13,
63,,,20,
64,,,,17
