CT_number,CRISPR1-Serial number,CRISPR2-Serial number,CRISPR3-Serial number,CRISPR6-Serial number
1,1,9,,
2,2,12,,
3,2,13,,
4,3,12,,
5,4,12,,
6,5,29,,
7,6,25,3,
8,6,24,3,
9,7,32,,
10,8,30,,
11,9,7,,
12,10,7,,
13,10,8,,
14,11,7,,
15,12,7,,
16,13,8,,
17,14,6,,
18,15,6,,
19,16,6,,
20,17,3,,
21,18,17,,
22,18,28,,
23,19,18,,
24,19,19,,
25,20,20,,
26,21,18,,
27,22,5,,
28,23,11,,
29,24,2,,
30,25,14,1,
31,25,15,1,
32,26,27,,
33,27,31,,
34,28,22,,
35,29,23,,
36,30,21,,
37,31,26,,
38,,4,2,
39,,10,,
40,,16,,
41,,1,4,
42,,1,,
43,19,36,,
44,19,37,,
45,31,39,,
46,32,34,,
47,33,35,,
48,34,30,,
49,35,40,,
50,,33,,
51,,38,,
52,36,41,,
53,37,7,,
54,38,42,,
55,39,10,,
56,29,43,,
57,40,44,5,1
58,41,45,,
59,10,46,,
60,42,7,,
61,19,48,,
62,43,50,6,
63,19,51,,
64,19,52,,
65,21,48,,
66,10,53,,
67,3,,,
68,44,23,,
69,45,56,,
70,46,6,,
71,6,57,3,
72,47,7,,
73,48,58,,
74,49,58,,
75,50,58,,
76,51,,,
77,52,59,,
78,53,60,,
79,54,60,,
80,55,62,,
81,56,48,,
82,57,63,,
83,5,64,,
84,58,53,,
85,59,65,,
86,60,40,,
87,61,12,,
88,62,67,,
89,63,68,,
90,64,,6,2
91,25,69,,
92,,47,,
93,,49,,
94,,1,7,
95,,54,,
96,,7,,
97,,55,,
98,,58,,
99,,61,,
100,,66,,
101,,1,8,3
102,,70,,
103,,,6,2
