CT_number,CRISPR1-Serial number,CRISPR2-Serial number,CRISPR3-Serial number,CRISPR6-Serial number
1,1,1,,
2,1,2,,
3,1,3,,
4,1,10,,
5,1,8,,
6,1,7,,
7,1,11,,
8,1,106,,
9,2,5,,
10,5,4,,
11,3,11,,
12,4,12,,
13,7,9,7,3
14,6,76,,
15,8,64,1,
16,25,44,28,9
17,8,63,1,
18,9,14,6,7
19,10,62,5,6
20,11,18,,
21,11,19,,
22,11,20,,
23,11,21,,
24,13,24,,
25,12,48,20,
26,14,37,9,
27,18,42,15,1
28,18,41,16,
29,15,66,,
30,19,40,17,2
31,16,23,,
32,17,39,14,12
33,20,16,10,
34,21,16,11,4
35,22,15,21,
36,23,15,12,
37,23,17,12,
38,24,47,,
39,25,44,24,8
40,25,44,24,9
41,,60,30,
42,25,45,24,10
43,25,45,25,9
44,26,,26,
45,27,88,,
46,28,89,,
47,29,26,,
48,30,46,24,9
49,31,22,,
50,32,49,29,
51,95,92,49,
52,33,50,,
53,33,51,,
54,34,56,30,
55,34,57,30,
56,35,57,30,
57,35,58,30,
58,36,57,30,
59,37,57,,
60,38,59,30,
61,39,57,36,
62,40,57,30,
63,41,58,30,
64,42,58,30,
65,43,52,,
66,44,53,,
67,45,61,30,
68,46,72,,
69,47,71,,
70,48,74,,
71,49,73,,
72,50,65,,
73,51,67,,
74,52,77,32,
75,53,70,2,
76,54,43,,
77,55,84,13,13
78,56,75,3,
79,56,75,4,
80,56,75,27,
81,,212,84,
82,58,34,2,
83,58,35,2,
84,,221,88,
85,,228,84,
86,59,31,2,
87,60,32,2,
88,61,30,2,
89,62,33,2,
90,63,54,34,
91,64,55,,
92,65,55,35,
93,66,78,38,
94,67,79,39,
95,68,25,,
96,69,29,42,
97,70,68,37,
98,71,69,40,
99,72,38,18,
100,73,27,31,
101,73,28,31,
102,74,81,23,
103,75,80,22,
104,76,82,22,
105,77,74,22,
106,78,84,,
107,79,85,41,
108,80,86,19,5
109,81,40,,
