serial number,Spacers Order
1,"3, 2, 1"
2,"49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 1"
3,"56, 55, 54, 53, 52, 51, 50, 1"
4,"61, 60, 59, 58, 57, 1"
5,"69, 68, 67, 66, 65, 64, 63, 62, 1"
6,"30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4"
7,"77, 76, 75, 74, 73, 72, 71, 70, 1"
8,"78, 79, 80, 1"
9,"83, 82, 81"
10,"69, 68, 67, 66, 65, 64, 63, 62"
11,"84, 1"
12,"49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31"
13,"3, 2"
14,"56, 55, 54, 53, 52, 51, 50"
15,"89, 88, 87, 86, 85"
16,"90, 91, 88, 87, 86, 92, 85"
17,"93, 94"
18,"95, 96, 97, 98, 99, 100, 101, 78"
19,"91, 87, 86, 92, 85"
20,"102, 103, 104, 105, 106, 107, 108, 109, 110, 111"
21,"47, 46, 45, 44, 43, 42, 41"
22,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 112, 34, 33, 32, 31, 1"
23,"69, 68, 67, 66, 65, 64, 63"
24,"113, 114, 1"
25,"121, 120, 119, 118, 117, 116, 115"
