serial number,Spacers Order
1,"16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1"
2,"26, 25, 24, 23, 22, 21, 20, 19, 18, 17"
3,"39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27"
4,"39, 38, 37, 36, 35, 34, 42, 41, 40, 33, 32, 31, 30, 29, 28, 27"
5,"49, 48, 47, 46, 45, 44, 43, 1"
6,"59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 1"
7,"69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 1"
8,"16, 15, 14, 13, 12, 11, 10, 9, 8, 6, 5, 4, 3, 2, 1"
9,"74, 73, 72, 71, 70, 1"
10,"130, 129, 128, 127, 126, 125, 124, 88, 123, 122, 121, 120, 119, 118, 117, 116, 115, 114, 113, 112, 111, 110, 109, 108, 107, 106, 105, 104, 103, 102, 101, 100, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 27"
11,"142, 141, 140, 139, 138, 137, 136, 135, 134, 133, 132, 131, 43, 1"
12,"150, 149, 148, 147, 146, 145, 144, 50, 143"
13,"172, 171, 170, 169, 168, 167, 166, 165, 164, 163, 162, 161, 160, 159, 158, 157, 156, 155, 19, 154, 153, 152, 151, 1"
14,"191, 190, 189, 188, 187, 186, 185, 184, 183, 182, 181, 180, 179, 178, 177, 176, 175, 174, 173, 35, 34, 42, 41, 40, 33, 32, 31, 30, 29, 28, 1"
15,"219, 218, 217, 216, 215, 214, 213, 212, 211, 210, 209, 208, 207, 206, 205, 204, 203, 202, 201, 200, 199, 198, 197, 196, 195, 194, 193, 192, 44, 43, 27"
16,"247, 246, 245, 244, 243, 242, 241, 240, 239, 238, 237, 236, 235, 234, 233, 232, 231, 230, 229, 228, 227, 226, 225, 224, 223, 222, 221, 54, 220, 1"
17,"254, 253, 252, 251, 250, 143, 249, 248, 1"
